id,isbn,title,all_authors,author_gender,publisher,publication_date,format,category,all_narrators,narrator_gender,hb_year,hb_pos,pb_year,pb_pos,str_year,str_pos
orig_070,S9789178151004,Sekten - S1,Maria Nordström,F,Storytel Original,2019-03-27,original,CRIME,Nina Zanjani,F,,,,,,
orig_071,9789179917920,Semesterkaos på Huvudkontoret,Gunnar Svensén,M,Storytel Original,2019-07-09,original,OTHER,Emma Peters,F,,,,,,
orig_072,9789180111072,Skuggspelet,Anna Bågstam,F,Storytel Original,2019-10-07,original,CRIME,Angela Kovács,F,,,,,,
orig_073,9789178414826,Slutspel,Nina Hampusson,F,Storytel Original,2020-10-16,original,OTHER,Elias Dahlgren,M,,,,,,
orig_074,S9789177610311,Sofia Tholls kabinett - S1,Elisabeth Östnäs,F,Storytel Original,2017-06-13,original,CRIME,Johan Ehn,M,,,,,,
orig_075,S9789178171033,Stackars Birger - S1,Martina Montelius,F,Storytel Original,2018-09-18,original,OTHER,Martina Montelius,F,,,,,,
orig_076,S9789177350903,Stockholm Psycho,Anna Bågstam,F,Storytel Original,2016-10-25,original,CRIME,Emma Peters,F,,,,,,
orig_077,S9789178391608,Storm,Karina Berg Johansson,F,Storytel Original,2020-07-22,original,CRIME,Ella Schartner,F,,,,,,
orig_078,S9789176135181,Summer Karlsson - S1,Johanna Nilsson,F,Storytel Original,2017-03-07,original,OTHER,Julia Dufvenius,F,,,,,,
orig_079,S9789177787884,Summer Karlsson - S2,Johanna Nilsson,F,Storytel Original,2017-10-24,original,OTHER,Julia Dufvenius,F,,,,,,
orig_080,S9789178158386,Summer Karlsson - S3,Johanna Nilsson,F,Storytel Original,2018-09-25,original,OTHER,Julia Dufvenius,F,,,,,,
orig_081,S9789176135365,Svart stjärna - S1,"Jesper Ersgård, Joakim Ersgård",M,Storytel Original,2016-07-05,original,OTHER,Stefan Sauk,M,,,,,,
orig_082,S9789177352402,Svart stjärna - S2,"Jesper Ersgård, Joakim Ersgård",M,Storytel Original,2016-12-13,original,OTHER,Stefan Sauk,M,,,,,,
